,UniqueCarrier,Description,Origin,Distance,lat,long
0,9E,Pinnacle Airlines Inc.,ABE,424.0,40.65236278,-75.44040167
1,DH,Independence Air,ABE,293.9210053859964,40.65236278,-75.44040167
2,DL,Delta Air Lines Inc.,ABE,456.51123082542,40.65236278,-75.44040167
3,EV,Atlantic Southeast Airlines,ABE,655.6036141750762,40.65236278,-75.44040167
4,NW,Northwest Airlines Inc.,ABE,372.52152941176473,40.65236278,-75.44040167
5,OH,Comair Inc.,ABE,564.6686504127472,40.65236278,-75.44040167
6,OO,Skywest Airlines Inc.,ABE,653.6872384937238,40.65236278,-75.44040167
7,UA,United Air Lines Inc.,ABE,651.8322321544241,40.65236278,-75.44040167
8,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),ABE,357.06431290195565,40.65236278,-75.44040167
9,XE,Expressjet Airlines Inc.,ABE,339.0,40.65236278,-75.44040167
10,YV,Mesa Airlines Inc.,ABE,653.8952150211993,40.65236278,-75.44040167
11,9E,Pinnacle Airlines Inc.,ALB,963.4351585014408,42.74811944,-73.80297861
12,AA,American Airlines Inc.,ALB,722.5414693546205,42.74811944,-73.80297861
13,DH,Independence Air,ALB,392.7794495412844,42.74811944,-73.80297861
14,DL,Delta Air Lines Inc.,ALB,718.5524241396847,42.74811944,-73.80297861
15,EV,Atlantic Southeast Airlines,ALB,835.2520293776575,42.74811944,-73.80297861
16,MQ,American Eagle Airlines Inc.,ALB,524.1874884323524,42.74811944,-73.80297861
17,NW,Northwest Airlines Inc.,ALB,488.0,42.74811944,-73.80297861
18,OH,Comair Inc.,ALB,617.4853723404256,42.74811944,-73.80297861
19,OO,Skywest Airlines Inc.,ALB,738.1572904707233,42.74811944,-73.80297861
20,UA,United Air Lines Inc.,ALB,723.0,42.74811944,-73.80297861
21,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),ALB,369.03802087941256,42.74811944,-73.80297861
22,WN,Southwest Airlines Co.,ALB,682.987261359457,42.74811944,-73.80297861
23,XE,Expressjet Airlines Inc.,ALB,277.87816054332706,42.74811944,-73.80297861
24,YV,Mesa Airlines Inc.,ALB,640.4358974358975,42.74811944,-73.80297861
25,9E,Pinnacle Airlines Inc.,ALO,166.0,42.55708139,-92.40034361
