,UniqueCarrier,Origin,Dest,Route,count,Description,lat1,long1,lat2,long2
0,9E,ABE,DTW,ABEDTW,980,Pinnacle Airlines Inc.,40.65236278,-75.44040167,42.21205889,-83.34883583
1,NW,ABE,DTW,ABEDTW,7239,Northwest Airlines Inc.,40.65236278,-75.44040167,42.21205889,-83.34883583
2,9E,ALB,DTW,ALBDTW,11,Pinnacle Airlines Inc.,42.74811944,-73.80297861,42.21205889,-83.34883583
3,AA,ALB,DTW,ALBDTW,1,American Airlines Inc.,42.74811944,-73.80297861,42.21205889,-83.34883583
4,NW,ALB,DTW,ALBDTW,16086,Northwest Airlines Inc.,42.74811944,-73.80297861,42.21205889,-83.34883583
5,DL,ATL,DTW,ATLDTW,29884,Delta Air Lines Inc.,33.64044444,-84.42694444,42.21205889,-83.34883583
6,EV,ATL,DTW,ATLDTW,2027,Atlantic Southeast Airlines,33.64044444,-84.42694444,42.21205889,-83.34883583
7,FL,ATL,DTW,ATLDTW,3242,AirTran Airways Corporation,33.64044444,-84.42694444,42.21205889,-83.34883583
8,NW,ATL,DTW,ATLDTW,30574,Northwest Airlines Inc.,33.64044444,-84.42694444,42.21205889,-83.34883583
9,OH,ATL,DTW,ATLDTW,45,Comair Inc.,33.64044444,-84.42694444,42.21205889,-83.34883583
10,OO,ATL,DTW,ATLDTW,104,Skywest Airlines Inc.,33.64044444,-84.42694444,42.21205889,-83.34883583
11,9E,ATW,DTW,ATWDTW,881,Pinnacle Airlines Inc.,44.25740806,-88.51947556,42.21205889,-83.34883583
12,9E,AUS,DTW,AUSDTW,280,Pinnacle Airlines Inc.,30.19453278,-97.66987194,42.21205889,-83.34883583
13,NW,AUS,DTW,AUSDTW,991,Northwest Airlines Inc.,30.19453278,-97.66987194,42.21205889,-83.34883583
14,9E,AVL,DTW,AVLDTW,673,Pinnacle Airlines Inc.,35.43619444,-82.54180556,42.21205889,-83.34883583
15,9E,AVP,DTW,AVPDTW,677,Pinnacle Airlines Inc.,41.33814944,-75.7242675,42.21205889,-83.34883583
