,tailnum,Distance,CRSElapsedTime,aircraft_type,engine_type,model,manufacturer
0,N10156,774.4369134515119,138.17559958289885,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
1,N102UW,914.5106467661692,149.40477611940298,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
2,N10323,1032.7004961330804,167.76134539617686,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
3,N103US,1038.1860036832413,165.6427255985267,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
4,N104UA,1509.6872146118722,211.9931506849315,Fixed Wing Multi-Engine,Turbo-Fan,747-422,BOEING
5,N104UW,735.612402314016,129.16553334009947,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
6,N10575,459.18499780026394,97.8620765508139,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
7,N105UA,1647.1503496503497,226.90734265734267,Fixed Wing Multi-Engine,Turbo-Jet,747-451,BOEING
8,N105UW,732.5374987279943,128.7717512974458,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
9,N106US,1072.830053667263,169.50894454382828,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
10,N107UA,1438.0341365461848,203.9437751004016,Fixed Wing Multi-Engine,Turbo-Fan,747-422,BOEING
11,N107US,1077.03730017762,170.54973357015984,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
12,N108UW,981.228064481229,156.63107216271774,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
13,N109UW,993.792610250298,157.94549788709503,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
14,N110UW,704.0911268485733,125.47812955634242,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
15,N11106,783.501948051948,138.97922077922078,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
16,N11107,772.3910130718954,137.2576797385621,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
17,N11109,784.0876408217363,138.6777667329357,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
18,N11113,775.3352384062704,137.8509144350098,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
19,N11119,782.7612797374898,138.93502871205905,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
20,N11121,781.0062510281297,138.75900641552886,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
21,N11127,770.8471760797343,137.33803986710964,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
22,N11137,783.1703141546064,138.98605718319803,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
23,N11140,782.9473017022818,139.1017747193046,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
24,N11150,778.9418052256532,138.56235154394298,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
25,N11155,784.7318317042074,139.5297492562686,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
26,N11164,782.3629791894853,137.1432639649507,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
