,age,delay_sum,model
2,15.0,16.0,737-3TO
5,15.0,135.0,737-3TO
12,15.0,1.0,737-3TO
14,15.0,65.0,737-3TO
15,15.0,248.0,737-3TO
16,15.0,70.0,737-3TO
17,15.0,26.0,737-3TO
18,15.0,19.0,737-3TO
22,15.0,21.0,737-3TO
23,15.0,14.0,737-3TO
29,15.0,22.0,737-3TO
31,15.0,3.0,737-3TO
33,15.0,15.0,737-3TO
34,15.0,9.0,737-3TO
36,15.0,3.0,737-3TO
37,15.0,9.0,737-3TO
38,15.0,1.0,737-3TO
41,15.0,48.0,737-3TO
42,15.0,47.0,737-3TO
45,15.0,3.0,737-3TO
47,15.0,87.0,737-3TO
48,15.0,51.0,737-3TO
51,15.0,69.0,737-3TO
52,15.0,282.0,737-3TO
54,15.0,2.0,737-3TO
55,15.0,87.0,737-3TO
62,15.0,7.0,737-3TO
65,15.0,6.0,737-3TO
66,15.0,9.0,737-3TO
68,15.0,9.0,737-3TO
69,15.0,41.0,737-3TO
70,15.0,7.0,737-3TO
75,15.0,81.0,737-3TO
76,15.0,13.0,737-3TO
79,15.0,3.0,737-3TO
82,15.0,7.0,737-3TO
88,15.0,5.0,737-3TO
90,15.0,60.0,737-3TO
101,15.0,44.0,737-3TO
103,15.0,2.0,737-3TO
106,15.0,64.0,737-3TO
110,15.0,15.0,737-3TO
112,15.0,2.0,737-3TO
113,15.0,29.0,737-3TO
114,15.0,6.0,737-3TO
115,15.0,5.0,737-3TO
116,15.0,18.0,737-3TO
117,15.0,110.0,737-3TO
118,15.0,5.0,737-3TO
120,15.0,3.0,737-3TO
121,15.0,73.0,737-3TO
124,15.0,35.0,737-3TO
125,15.0,7.0,737-3TO
129,15.0,91.0,737-3TO
131,15.0,13.0,737-3TO
137,15.0,67.0,737-3TO
140,15.0,9.0,737-3TO
141,15.0,16.0,737-3TO
147,15.0,224.0,737-3TO
148,15.0,6.0,737-3TO
150,15.0,14.0,737-3TO
158,15.0,7.0,737-3TO
159,15.0,3.0,737-3TO
161,15.0,1.0,737-3TO
164,15.0,5.0,737-3TO
167,15.0,148.0,737-3TO
172,15.0,16.0,737-3TO
175,15.0,71.0,737-3TO
177,15.0,2.0,737-3TO
180,15.0,50.0,737-3TO
182,15.0,102.0,737-3TO
183,15.0,4.0,737-3TO
192,15.0,96.0,737-3TO
193,15.0,106.0,737-3TO
194,15.0,349.0,737-3TO
195,15.0,109.0,737-3TO
197,15.0,15.0,737-3TO
203,15.0,1.0,737-3TO
206,15.0,6.0,737-3TO
207,15.0,19.0,737-3TO
208,15.0,54.0,737-3TO
210,15.0,259.0,737-3TO
211,15.0,374.0,737-3TO
213,15.0,3.0,737-3TO
214,15.0,3.0,737-3TO
215,15.0,27.0,737-3TO
217,15.0,66.0,737-3TO
218,15.0,6.0,737-3TO
220,15.0,93.0,737-3TO
221,15.0,20.0,737-3TO
222,15.0,2.0,737-3TO
224,15.0,13.0,737-3TO
226,15.0,10.0,737-3TO
230,15.0,139.0,737-3TO
232,15.0,3.0,737-3TO
234,15.0,9.0,737-3TO
238,15.0,3.0,737-3TO
239,15.0,3.0,737-3TO
